"event_time","n","pct","cum_pct"
-21,1,0.1,0.1
-20,2,0.2,0.3
-19,2,0.2,0.5
-18,2,0.2,0.7
-17,2,0.2,0.9
-16,3,0.3,1.2
-15,3,0.3,1.5
-14,3,0.3,1.8
-13,6,0.5,2.3
-12,7,0.6,2.9
-11,9,0.8,3.7
-10,12,1,4.7
-9,22,1.9,6.6
-8,25,2.1,8.7
-7,32,2.7,11.4
-6,34,2.9,14.3
-5,36,3,17.3
-4,36,3,20.3
-3,36,3,23.3
-2,36,3,26.3
-1,36,3,29.3
0,36,3,32.3
1,36,3,35.3
2,36,3,38.3
3,36,3,41.3
4,36,3,44.3
5,36,3,47.3
6,36,3,50.3
7,36,3,53.3
8,36,3,56.3
9,36,3,59.3
10,36,3,62.3
11,36,3,65.3
12,35,2.9,68.2
13,34,2.9,71.1
14,34,2.9,74
15,34,2.9,76.9
16,34,2.9,79.8
17,33,2.8,82.6
18,33,2.8,85.4
19,33,2.8,88.2
20,30,2.5,90.7
21,29,2.4,93.1
22,27,2.3,95.4
23,24,2,97.4
24,14,1.2,98.6
25,11,0.9,99.5
26,4,0.3,99.8
27,2,0.2,100
