"event_time","coefficient","std_error","ci_lower","ci_upper","statistic","p.value"
-10,-6.14879097295463,7.71884293624001,-21.8188752147346,9.52129326882535,-0.79659490726078,0.431056900653829
-9,-7.31802209691793,6.11581671705255,-19.7337901019323,5.09774590809644,-1.19657315375611,0.239515771539063
-8,-4.43076432353994,5.95758254895203,-16.5252998893733,7.66377124229346,-0.743718494394901,0.462010606285958
-7,-2.7088914095895,5.81936168222754,-14.5228236980359,9.10504087885687,-0.465496313429446,0.644459723965011
-6,-2.13678534568897,4.5139736969479,-11.3006391357764,7.02706844439848,-0.473371244306041,0.638887622333508
-5,-3.7880889344372,3.54517497941998,-10.9851767671924,3.40899889831804,-1.06851959534504,0.29260070483478
-4,-0.619332775075234,2.84065197809604,-6.38616287720803,5.14749732705756,-0.218024868886031,0.828675936403425
-3,-3.13964330270526,2.97557921778526,-9.18039026386807,2.90110365845754,-1.05513685669647,0.298592140565852
-2,-0.654567774239022,2.44491589811721,-5.61801092291207,4.30887537443403,-0.267726090187026,0.790481649960961
-1,0,0,0,0,NA,NA
0,1.20987778204457,2.80317416458737,-4.48086831375078,6.90062387783992,0.431609921826839,0.66867210244702
1,-0.312555120578414,3.44838383559562,-7.31314648487142,6.68803624371459,-0.0906381468768332,0.928296863441322
2,0.765939941380715,4.65840665410149,-8.69112834012486,10.2230082228863,0.164421013074577,0.870345624812243
3,1.89305308775363,3.56739484267733,-5.34914346556501,9.13524964107227,0.530654208809948,0.599009649466281
4,0.501207946880371,4.10254481690287,-7.82740081191649,8.82981670567723,0.122170011358644,0.903463163966974
5,1.56010701561378,4.4169398664366,-7.40675762584418,10.5269716570717,0.353209928771886,0.726049653726005
6,1.03102244468734,5.12757056271951,-9.37849920735261,11.4405440967273,0.201074257696908,0.841804500005841
7,-0.143676052344065,5.41605775701179,-11.1388578447155,10.8515057400273,-0.0265277917610936,0.978987046972261
8,-2.13789901122497,5.16432853855514,-12.6220433214353,8.34624529898534,-0.413974245686371,0.681418946717389
9,-0.327293373302754,5.1855531514192,-10.8545259383624,10.1999391917569,-0.0631163858021934,0.950032915912395
10,-3.40906752300844,5.93251225883598,-15.4527076941137,8.63457264809682,-0.574641462886305,0.569209306323248
