group,year,event_time,att_gt,n_treated,n_control
1969.0,1969,0.0,0.8708618388456486,2,34
1969.0,1970,1.0,-9.57458782196045,2,32
1969.0,1971,2.0,-12.382786865234372,2,25
1969.0,1972,3.0,-4.2319358478892894,2,22
1969.0,1973,4.0,4.4640844662984165,2,12
1969.0,1974,5.0,0.0187530517578125,2,9
1969.0,1975,6.0,0.8621877942766432,2,7
1969.0,1976,7.0,-13.269739786783852,2,6
1969.0,1977,8.0,-0.05026372273763258,2,3
1969.0,1978,9.0,-5.365762074788414,2,3
1969.0,1979,10.0,-2.040501276652016,2,3
1969.0,1980,11.0,-5.795843124389648,2,2
1969.0,1981,12.0,2.1930065155029297,2,2
1969.0,1982,13.0,-5.108905792236328,2,2
1969.0,1983,14.0,3.6497745513916016,2,2
1969.0,1984,15.0,-6.669122695922852,2,1
1970.0,1970,0.0,-0.26268959045410156,2,32
1970.0,1971,1.0,-1.1680031585693342,2,25
1970.0,1972,2.0,-1.0294198122891487,2,22
1970.0,1973,3.0,-9.915349801381431,2,12
1970.0,1974,4.0,-12.45587497287326,2,9
1970.0,1975,5.0,-10.199635914393838,2,7
1970.0,1976,6.0,-17.677392959594727,2,6
1970.0,1977,7.0,-15.77347056070964,2,3
1970.0,1978,8.0,-24.531172434488937,2,3
1970.0,1979,9.0,-22.62026596069336,2,3
1970.0,1980,10.0,-29.81777000427246,2,2
1970.0,1981,11.0,-22.17510414123535,2,2
1970.0,1982,12.0,-33.854936599731445,2,2
1970.0,1983,13.0,-28.778894424438477,2,2
1970.0,1984,14.0,-25.422927856445312,2,1
1971.0,1971,0.0,-7.827588348388666,7,25
1971.0,1972,1.0,-10.543318884713315,7,22
1971.0,1973,2.0,-2.232478527795706,7,12
1971.0,1974,3.0,9.256372542608354,7,9
1971.0,1975,4.0,7.363154275076731,7,7
1971.0,1976,5.0,3.503600710914249,7,6
1971.0,1977,6.0,9.391547702607646,7,3
1971.0,1978,7.0,-0.13665735153925596,7,3
1971.0,1979,8.0,1.9849702744256845,7,3
1971.0,1980,9.0,1.2799442836216457,7,2
1971.0,1981,10.0,5.0007008143833644,7,2
1971.0,1982,11.0,-2.006932394845151,7,2
1971.0,1983,12.0,0.3120395115443628,7,2
1971.0,1984,13.0,8.01307187761578,7,1
1972.0,1972,0.0,-5.465689977010086,3,22
1972.0,1973,1.0,0.06055911382039625,3,12
1972.0,1974,2.0,1.5740534464518348,3,9
1972.0,1975,3.0,3.6259240649995377,3,7
1972.0,1976,4.0,1.287855784098312,3,6
1972.0,1977,5.0,8.595382054646812,3,3
1972.0,1978,6.0,-7.599215825398765,3,3
1972.0,1979,7.0,3.1518891652425154,3,3
1972.0,1980,8.0,1.67633056640625,3,2
1972.0,1981,9.0,12.413887659708664,3,2
1972.0,1982,10.0,-0.004720052083328596,3,2
1972.0,1983,11.0,2.9641939798990933,3,2
1972.0,1984,12.0,13.326331456502281,3,1
1973.0,1973,0.0,13.46288131078083,10,12
1973.0,1974,1.0,9.57876968383789,10,9
1973.0,1975,2.0,19.357877131870808,10,7
1973.0,1976,3.0,13.394284947713203,10,6
1973.0,1977,4.0,13.862459818522133,10,3
1973.0,1978,5.0,7.635423151652013,10,3
1973.0,1979,6.0,11.494574101765956,10,3
1973.0,1980,7.0,9.061721801757812,10,2
1973.0,1981,8.0,16.294103622436523,10,2
1973.0,1982,9.0,5.247554016113277,10,2
